id,username,acctdesc,userlocation,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,lat,lon,placeName
1271205278302851081,StaserasolounTG,"Non serve seguire tanti TG,Ne basta uno..Però di buon livello",Genova,2587,2383,115422,2013-03-15 06:27:08,2020-06-11 22:18:50,2,Focolaio Covid a Genova-Coronata infettato anche il direttore [di GIUSEPPE FILETTO] [aggiornamento delle 12:55] https://t.co/YLmhlWvdOd,[],,,
1271205185642266627,GioChirilly,"Nel tempo dell'inganno universale dire la verità è un atto rivoluzionario. NO UE, rivoglio il mio Paese sovrano",  Roma/Marche ,1138,5156,118038,2016-11-12 18:28:40,2020-06-11 22:18:28,100,È da ieri che ai tg si sta parlando di una nuova ondata di Covid in arrivò e nuovi focolai!!!!! Vi rendete conto....di cosa vogliono fare????,[],,,
1271205016695648256,IMoresi,Cocciuta e curiosa.Non si finisce mai di imparare. E quando imparo ricomincio da lì,,2427,7082,492845,2013-02-18 16:13:18,2020-06-11 22:17:48,7,@Musso___ @clapaudice Non trascurerei “il consolidamento fiscale ha minato la crescita necessaria per ridurre significativamente il rapporto debito / Pil” (persino Centeno lo vedeva come 1° problema italiano prima del Covid...pensa ora),[],,,
1271204925733814277,ralf_anna,"Io sono Nessuno. #pensierisparsi #satira #nopoliticallycorrect «Se dovevo piacere a tutti, nascevo Nutella.»",Neverland,151,16,1523,2012-05-06 12:14:33,2020-06-11 22:17:26,0,"#Twitter ha chiuso più di 170.000 account legati al governo cinese.
Tali account affermavano  informazioni ingannevoli riguardo alle proteste di Hong Kong, riguardo al Covid-19 e altri argomenti.
Poi uno si dovrebbe fidare della Cina....","[{'text': 'Twitter', 'indices': [0, 8]}]",,,
